Nº;Nom;Durée;Début;Fin;Prédécesseurs;Successeurs
"212;";"SABLAGES FRISES ET ROSACES;";"35 jours;";"Lun 25/01/10;";"Ven 12/03/10;";211;213DD+25 jours
"213;";"REVISIONS FRISES ET ROSACES;";"40 jours;";"Lun 01/03/10;";"Ven 23/04/10;";212DD+25 jours;214FD-20 jours
"214;";"TRAITEMENT FRISES ET ROSACES;";"35 jours;";"Lun 29/03/10;";"Ven 14/05/10;";213FD-20 jours;216
"215;";"CROCHETS;";"5 jours;";"Lun 15/02/10;";"Ven 19/02/10;";205DD;
"216;";"LETTRAGES;";"10 jours;";"Lun 17/05/10;";"Ven 28/05/10;";214;217,229
"217;";"RESTAURATION GRILLES DE SOUPIRAUX;";"15 jours;";"Lun 31/05/10;";"Ven 18/06/10;";216;218
"218;";"RESTAURATION GRILLE 1RS;";"10 jours;";"Lun 21/06/10;";"Ven 02/07/10;";217;219
"219;";"RESTAURATION MENUISERIE 3RS;";"15 jours;";"Lun 05/07/10;";"Ven 23/07/10;";218;220
"220;";"RESTAURATION CHASSIS 6S ET 10S;";"10 jours;";"Lun 26/07/10;";"Ven 03/09/10;";219;222
"221;";"REMPLACEMENT MENUISERIES 17 A 21;";"40 jours;";"Lun 26/04/10;";"Ven 18/06/10;";208DD;
"222;";"FINITIONS;";"10 jours;";"Lun 06/09/10;";"Ven 17/09/10;";220;
"223;";"LOT 09 SCULPTURE METALLIQUE - NON DESIGNER;";"204 jours;";"Lun 24/08/09;";"Ven 11/06/10;";;
"224;";"ETUDE EXECUTION;";"4 sms;";"Lun 23/11/09;";"Ven 18/12/09;";;
"225;";"TRANCHE CONDITIONNELLE;";"204 jours;";"Lun 24/08/09;";"Ven 11/06/10;";;
"226;";"DEPOSE EN CONSERVATION CARIATIDES;";"2 sms;";"Lun 24/08/09;";"Ven 04/09/09;";;
"227;";"DEPOSE DES ŒUVRES + AIGLES EN FACADE;";"1 sm;";"Lun 16/11/09;";"Ven 20/11/09;";;228
"228;";"RESTAURATION EN ATELIER;";"6 sms;";"Lun 23/11/09;";"Lun 11/01/10;";227;
"229;";"REPOSE DES ŒUVRES;";"2 sms;";"Lun 31/05/10;";"Ven 11/06/10;";216;
"230;";"LOT 10 PEINTURE DECORATIVE & DORURE - DUVAL MAULER;";"189 jours;";"Lun 23/11/09;";"Ven 17/09/10;";;
"231;";"ETUDE EXECUTION;";"4 sms;";"Lun 23/11/09;";"Ven 18/12/09;";;
