"N° ";"Désignation";"Durée";"Coût Prév. >0 ";"Coût Prév. <0";"Coût Réel";
"42";"DEMOLITION DE BRISE SOLEIL";"1";"";"";"";
"43";"ISOLATION SOUS PLANCHER ";"1";"";"";"";
"44";"REGARDS ";"1";"";"";"";
"45";"REPRISE EN SOUS OEUVRE ";"1";"";"";"";
"46";"SEUILS ET APPUIS ";"1";"";"";"";
"47";"SIPHONS ";"1";"";"";"";
"48";"LINTEAUX CHAINAGES ";"1";"";"";"";
"49";"RESEAUX SOUS DALLAGES";"1";"";"";"";
"50";"ENDUITS INTERIEURS";"1";"";"";"";
"51";"EDICULES ";"1";"";"";"";
"52";"REPRISES DES ETANCHEITES BAT 1";"1";"";"";"";
"53";"PARPAINGS";"1";"";"";"";
"54";"DESCENTES EP NEUVES ";"1";"";"";"";
"55";"ETANCHEITES SUR OUVRAGES BA ";"1";"";"";"";
"56";"HABILLAGE MENEAU SUD BAT 3";"1";"";"";"";
"57";"ETANCHEITE NEUVE";"1";"";"";"";
"58";"BECHES ";"1";"";"";"";
"59";"LIBAGE ";"1";"";"";"";
"60";"DEMOLITION DES ALLEGES BAT 3";"1";"";"";"";
"63";"ORDRE DE SERVICE ";"1";"";"";"";
"64";"ENDUITS";"1";"";"";"";
"65";"DRESSAGE DES MURS MACONNES";"1";"";"";"";
"66";"PLAN DE RETRAIT AMIANTE ";"1";"";"";"";
"67";"DESAMIANTAGE BAT 2";"1";"";"";"";
"68";"INSTALLATION DE CHANTIER ";"10";"";"";"";
"69";"MISE HORS D'EAU ET HORS D'AIR PROVISOIRE";"10";"";"";"";
"70";"DEMOLITION DU BATIMENT ACCUEIL";"30";"";"";"";
"71";"DEMOLITION PARTIELLE DU BATIMENT 3";"1";"";"";"";
"72";"SAIGNE DANS DALLAGE EXISTANT";"1";"";"";"";
"73";"TERRASSEMENT ";"3";"";"";"";
"74";"EVACUATION DES TERRES ";"3";"";"";"";
"75";"FONDATIONS ";"1";"";"";"";
"76";"REMBLAIS";"5";"";"";"";
"77";"LONGRINES ";"1";"";"";"";
"78";"FOSSE ASCENSEUR ";"1";"";"";"";
"79";"FUT ANCRAGE CHARPENTE ";"1";"";"";"";
"80";"DALLE PORTEE";"1";"";"";"";
"81";"VOILES BA ";"1";"";"";"";
"82";"POTEAUX BA ";"1";"";"";"";
"83";"POUTRE BA ";"1";"";"";"";
"84";"PLANCHER BA ";"1";"";"";"";
"85";"ACROTERES BA ";"1";"";"";"";
"86";"INSTALLATION DE CHANTIER";"15";"";"";"";
"87";"ETUDE D'EXECUTION";"1";"";"";"";
"88";"DEMOLITION PARTIELLE BAT 3";"1";"";"";"";
"89";"SAIGNEES DANS DALLAGE EXISTANT ";"1";"";"";"";
"90";"DEMOLITION DU BRISE SOLEIL ";"1";"";"";"";
"91";"REPRISE D'UNE POUTRE BETON";"1";"";"";"";
"92";"DECOUPAGE DU PALIER ";"1";"";"";"";
"93";"CARROTAGE, PERCEMENT ET REMPLISSAGE";"1";"";"";"";
"94";"CREATION ET ADAPTATION OUVERTURE BAT 1 ";"1";"";"";"";
"95";"CREATION ET ADAPTATION D'OUVERTURE BAT 2";"1";"";"";"";
"96";"ISOLEMENT DE LA ZONE DE CHANTIER";"1";"";"";"";
"97";"DEMOLITION DES ALLEGES BAT 3";"1";"";"";"";
"98";"DEMOLITION DES ALLEGES BAT 1 RDC";"1";"";"";"";
"99";"BECHES";"1";"";"";"";
"100";"RESEAUX SOUS DALLAGES";"1";"";"";"";
"101";"REGARDS";"1";"";"";"";
"102";"ISOLATION FIBRASTYRENE ";"1";"";"";"";
"103";"PARPAINGS LINTEAUX CHAINAGES";"1";"";"";"";
"104";"ACROTERES BA";"1";"";"";"";
"105";"JOINTS DE DILATATION";"1";"";"";"";
"106";"COUVRE JOINTS";"1";"";"";"";
"107";"DRESSAGE";"1";"";"";"";
"108";"ENCADREMENT DE BAIES";"1";"";"";"";
"109";"RAGREAGE";"1";"";"";"";
"110";"REPRISE EN SOUS OEUVRE";"1";"";"";"";
"111";"SEUILS ET APPUIS";"1";"";"";"";
"112";"SOCLES TOTEM ET PANNEAUX";"1";"";"";"";
"113";"ABRI A VELO ";"1";"";"";"";
"114";"SOCLES ";"1";"";"";"";
"115";"RACCORDS ET FINITIONS ";"1";"";"";"";
"116";"ENDUITS INTERIEURS";"1";"";"";"";
"117";"EDICULES";"1";"";"";"";
"118";"REPRISE DES ETANCHEITES BAT 2";"12";"";"";"";
"119";"REPRISE DES ETANCHEITES BAT 3 ";"15";"";"";"";
"120";"ETANCHEITE CASQUETTE BA BAT 1";"1";"";"";"";
"121";"ETANCHEITE CASQUETTE BA BAT 2";"5";"";"";"";
"122";"ETANCHEITE DES TERRASSES BAT 2 R+3";"5";"";"";"";
"123";"ETANCHEITE DES TERRASSES BAT 2 R+2";"1";"";"";"";
"124";"ETANCHEITE DES TERRASSES BAT 2 R+1";"1";"";"";"";
"125";"ETANCHEITE DES TERRASSES BAT 2 RDC";"1";"";"";"";
"126";"ETANCHEITE BAT 3 & ACCUEIL R+3";"10";"";"";"";
"127";"ETANCHEITE BAT 3 & ACCUEIL RDC";"1";"";"";"";
"128";"REPRISE DES ETANCHEITES AU DROIT DES OUVRAGES CREES BAT 3";"3";"";"";"";
"130";"REMPLACEMENT DESCENTE EP BAT 2";"2";"";"";"";
"131";"DESCENTE EP BAT 3 ET ACCUEIL ";"2";"";"";"";
"132";"COUVERTINE BAT 1 ";"4";"";"";"";
"133";"COUVERTINE IMPRIMERIE";"1";"";"";"";
"134";"COUVERTINE BAT 2";"3";"";"";"";
"135";"COUVERTINE BAT 3 ET ACCUEIL";"3";"";"";"";
"136";"ECHAFAUDAGE OUEST BAT 1";"1";"";"";"";
"137";"ECHAFAUDAGE EST BAT 1";"1";"";"";"";
"138";"ECHAFAUDAGE OUEST BAT 2";"5";"";"";"";
"139";"ECHAFAUDAGE NORD BAT 2";"6";"";"";"";
"140";"ECHAFAUDAGE EST BAT 2";"5";"";"";"";
"141";"ECHAFAUDAGE SUD BAT 3";"6";"";"";"";
"142";"ECHAFAUDAGE NORD BAT ACCUEIL ";"1";"";"";"";
"143";"ECHAFAUDAGE EST BAT 3";"1";"";"";"";
"144";"ECHAFAUDAGE SUD BAT 2";"1";"";"";"";
"145";"DEMOLITION VETURE SUD BAT 1";"1";"";"";"";
"146";"DEMOLITION VETURE OUEST BAT 1";"1";"";"";"";
"147";"DEMOLITION DE VETURE NORD BAT 1";"1";"";"";"";
"148";"BARDAGE ALU SUD BAT 1";"1";"";"";"";
"149";"BARDAGE ALU NORD BAT1";"1";"";"";"";
"150";"BARDAGE ALU SUD BAT 2 ";"1";"";"";"";
"151";"BARDAGE ALU OUEST BAT 2";"1";"";"";"";
"152";"BARDAGE ALU NORD BAT 2";"1";"";"";"";
"153";"BARDAGE ALU EST BAT 2";"1";"";"";"";
"154";"BARDAGE ALU NORD EST BAT ACCUEIL ET RETOURS LATERAUX";"1";"";"";"";
"155";"BARDAGE PANNEAU SUD IMPRIMERIE";"1";"";"";"";
"156";"BARDAGE PANNEAU NORD IMPRIMERIE";"1";"";"";"";
"157";"BARDAGE PANNEAU SUD BAT 2";"1";"";"";"";
"158";"BARDAGE PANNEAU EST BAT 2";"1";"";"";"";
"159";"BARDAGE PANNEAU EST BAT 3";"1";"";"";"";
"160";"BARDAGE PANNEAU OUEST BAT 3";"1";"";"";"";
"161";"BARDAGE PANNEAU NORD BAT 3";"1";"";"";"";
"162";"BARDAGE PANNEAU EST BAT ACCUEIL";"1";"";"";"";
"163";"OUVRAGE SECURITE A DEMEURE BAT 1";"1";"";"";"";
"164";"OUVRAGE SECURITE A DEMEURE BAT 2";"1";"";"";"";
"165";"OUVRAGE SECURITE A DEMEURE BAT 3";"1";"";"";"";
"166";"MENUISERIE EXTER BAT 1 R+3";"1";"";"";"";
"167";"MENUISERIE EXTER BAT 1 R+2";"1";"";"";"";
"168";"MENUISERIE EXTER BAT 1 R+1";"1";"";"";"";
"169";"MENUISERIE EXTER BAT 1 RDC";"1";"";"";"";
"170";"MENUISERIE EXTER BAT 2 R+3";"15";"";"";"";
"171";"MENUISERIE EXTER BAT 2 R+2";"15";"";"";"";
"172";"MENUISERIE EXTER BAT 2 R+1";"1";"";"";"";
"173";"MENUISERIE EXTER BAT 2 RDC";"1";"";"";"";
"174";"MENUISERIE EXTER BAT 3 R+3";"1";"";"";"";
"175";"MENUISERIE EXTER BAT 3 R+2";"1";"";"";"";
"176";"MENUISERIE EXTER BAT 3 R+1";"1";"";"";"";
"177";"MENUISERIE EXTER BAT 3 RDC";"1";"";"";"";
"178";"MENUISERIE EXTER BAT ACCUEIL R+3";"1";"";"";"";
"179";"MENUISERIE EXTER BAT ACCUEIL R+2";"1";"";"";"";
"180";"MENUISERIE EXTER BAT ACCUEIL R+1";"1";"";"";"";
"181";"MENUISERIE EXTER BAT ACCUEIL RDC";"1";"";"";"";
