"N° ";"Désignation";"Durée";"Crit 1";"Désign Crit 1";"Crit 2";"Désign Crit 2";"Crit 3";"Désign Crit 3";
"222";"AMENAGEMENT PLACARDS BAT 1 R+2";"15";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"224";"BLOC PORTE BAT 1 R+3";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"225";"IDEOGRAMME SIGNALETIQUE BAT 1 R+3";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"226";"DIVERS ACCESSOIRES BAT 1 R+3";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"227";"CLOISONS BOIS EXOTIQUE BAT 1 R+3";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"229";"BLOC PORTE BAT 1 RDC";"10";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"230";"CLOISONS MODULAIRES BAT 1 RDC";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"231";"BLOC PORTE BAT 2 RDC";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"232";"CLOISONS MODULAIRES BAT 2 RDC";"10";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"233";"PORTE DAS BAT 2 RDC";"4";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"234";"BLOC PORTE BAT 2 RDC";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"235";"CLOISONS MODULAIRES BAT 2 RDC";"10";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"236";"BLOC PORTE BAT 2 R+1";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"237";"CLOISONS MODULAIRES BAT 2 R+1";"10";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"238";"PORTE DAS BAT 2 R+1";"4";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"239";"Tache numéro 239";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"240";"BLOC PORTE BAT 2 R+1";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"241";"CLOISONS MODULAIRES BAT 2 R+1";"10";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"242";"BLOC PORTE BAT 2 R+2";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"244";"PORTE DAS BAT 2 R+2";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"246";"BLOC PORTE BAT 2 R+2";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"247";"PORTE DAS BAT 2 R+2";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"248";"STORES VENITIENS BAT 2 R+2";"15";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"249";"BLOC PORTE BAT 2 R+3";"4";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"250";"PORTE DAS BAT 2 R+3";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"251";"BLOC PORTE BAT 2 R+3";"4";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"252";"PORTE DAS BAT 2 R+3";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"253";"CLOISONS ALU BAT 1 R+2";"30";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"254";"CLOISONS MODULAIRES BAT 2 R+1";"4";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"255";"PORTE DAS BAT 3 RDC";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"256";"CLOISONS ALU BAT 3 RDC";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"257";"CLOISONS MODULAIRES BAT 3 RDC";"4";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"258";"SYSTEME FERMETURE DAS BAT 3 RDC";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"259";"BLOC PORTE BAT 3 RDC";"4";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"260";"PORTE DAS BAT 3 RDC";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"261";"DIVERS ACCESSOIRES BAT 3 RDC";"30";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"262";"BLOC PORTE BAT 3 R+1";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"263";"PORTE DAS BAT 3 R+1";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"264";"Tache numéro 264";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"265";"IDEOGRAMME SIGNALETIQUE BAT 1 R+1";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"266";"BANQUE D'ACCUEIL BAT 1 R+1";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"267";"TABLETTE MEDIUM BAT 3 R+2";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"268";"IDEOGRAMME SIGNALETIQUE BAT 3 R+2";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"269";"BANQUE D'ACCUEIL BAT 3 R+2";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"270";"BLOC PORTE BAT 3 R+2";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"272";"TABLETTE MEDIUM BAT 3 R+2";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"273";"IDEOGRAMME SIGNALETIQUE BAT 3 R+2";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"274";"BLOC PORTE BAT 3 R+2";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"275";"TABLETTE MEDIUM BAT 3 R+3";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"276";"IDEOGRAMME SIGNALETIQUE BAT 3 R+3";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"277";"Tache numéro 286";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"278";"Tache numéro 287";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"279";"Tache numéro 288";"4";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"280";"Tache numéro 289";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"290";"RACCORDS CLOISONS BAT 1 R+3";"5";"";"";"";"";"";"";
"291";"RACCORDS CLOISONS BAT 1 R+2";"5";"";"";"";"";"";"";
"292";"RACCORDS CLOISONS BAT 1 R+1";"5";"";"";"";"";"";"";
"293";"Tache numéro 309";"5";"";"";"";"";"";"";
"294";"Tache numéro 315";"3";"";"";"";"";"";"";
"296";"RACCORDS DE CLOISONS BAT 2 RDC";"3";"";"";"";"";"";"";
"297";"RACCORDS PLATRE BAT 2 R+1";"1";"";"";"";"";"";"";
"298";"RACCORDS PLATRE BAT 2 RDC";"1";"";"";"";"";"";"";
"299";"RACCORDS CLOISONS BRIQUE BAT 1 RDC";"5";"";"";"";"";"";"";
"300";"AUVENT ARCHITECTURAL ACCUEIL";"5";"";"";"";"";"";"";
"301";"RACCORDS PLATRE BAT 1 R+3";"3";"";"";"";"";"";"";
"302";"RACCORDS PLATRE BAT 1 R+2";"3";"";"";"";"";"";"";
"303";"RACCORDS DE CLOISONS BAT 2 R+3";"3";"";"";"";"";"";"";
"304";"Tache numéro 303";"3";"";"";"";"";"";"";
"305";"RACCORDS PLATRE BAT 2 R+3";"5";"";"";"";"";"";"";
"306";"RACCORDS PLATRE BAT 2 R+2";"1";"";"";"";"";"";"";
"307";"DEMOLITION BAT 2 R+3";"1";"";"";"";"";"";"";
"308";"RACCORD PLATRE BAT 3 RDC";"1";"";"";"";"";"";"";
"309";"DEMOLITION BAT 2 R+3";"7";"";"";"";"";"";"";
"310";"DEMOLITION BAT 2 R+2 ";"7";"";"";"";"";"";"";
"311";"DEMOLITION BAT 2 R+1";"7";"";"";"";"";"";"";
"312";"DEMOLITION BAT 2 RDC";"7";"";"";"";"";"";"";
"313";"DEMOLITION BAT 2 R-1";"5";"";"";"";"";"";"";
"314";"REMPLACEMENT DESCENTE EP IMPRIMERIE";"1";"";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"315";"MODIFICATION OUVERTURE INTER. BAT 2 R+3";"10";"";"";"";"";"";"";
