"N° ";"Désignation";"Durée";"Crit 1";"Désign Crit 1";"Crit 2";"Désign Crit 2";"Crit 3";"Désign Crit 3";
"54";"DESCENTES EP NEUVES ";"1";"C1-TRANCHE 1---";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"55";"ETANCHEITES SUR OUVRAGES BA ";"1";"C1-TRANCHE 1---";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"56";"HABILLAGE MENEAU SUD BAT 3";"1";"C1-TRANCHE 1---";"";"";"";"C3-07---";"LOT 6 BARDAGE ";
"57";"ETANCHEITE NEUVE";"1";"C1-TRANCHE 1---";"";"";"";"C3-05---";"LOT 4 ETANCHEITE";
"58";"BECHES ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"59";"LIBAGE ";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"60";"DEMOLITION DES ALLEGES BAT 3";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"63";"ORDRE DE SERVICE ";"1";"C1-TRANCHE 1---";"";"";"";"";"";
"64";"ENDUITS";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"65";"DRESSAGE DES MURS MACONNES";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"66";"PLAN DE RETRAIT AMIANTE ";"1";"C1-TRANCHE 1---";"";"";"";"";"";
"67";"DESAMIANTAGE BAT 2";"1";"C1-TRANCHE 1---";"";"";"";"C3-02---";"LOT 1 DESAMIANTAGE";
"68";"INSTALLATION DE CHANTIER ";"10";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"69";"MISE HORS D'EAU ET HORS D'AIR PROVISOIRE";"10";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"70";"DEMOLITION DU BATIMENT ACCUEIL";"30";"C1-TRANCHE 1---";"";"";"";"";"";
"71";"DEMOLITION PARTIELLE DU BATIMENT 3";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"72";"SAIGNE DANS DALLAGE EXISTANT";"1";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"73";"TERRASSEMENT ";"3";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
"74";"EVACUATION DES TERRES ";"3";"C1-TRANCHE 1---";"";"";"";"C3-04---";"LOT 3 GROS OEUVRE";
