"N° ","Désignation","Durée","Prédécesseurs","Successeurs","Critère 1","Critère 2","Critère 3",
"79","FUT ANCRAGE CHARPENTE ","1","77FD0 - ","80FD0 - ","C1-TRANCHE 1---","","C3-04---",
"80","DALLE PORTEE","1","79FD0 - 58FD0 - 49FD0 - ","81FD0 - 82FD0 - ","C1-TRANCHE 1---","","C3-04---",
"81","VOILES BA ","1","80FD0 - ","84FD0 - ","C1-TRANCHE 1---","","C3-04---",
"82","POTEAUX BA ","1","80FD0 - ","83FD0 - ","C1-TRANCHE 1---","","C3-04---",
"83","POUTRE BA ","1","82FD0 - ","84FD0 - ","C1-TRANCHE 1---","","C3-04---",
"84","PLANCHER BA ","1","81FD0 - 83FD0 - ","85FD0 - ","C1-TRANCHE 1---","","C3-04---",
"85","ACROTERES BA ","1","84FD0 - ","","C1-TRANCHE 1---","","C3-04---",
"86","INSTALLATION DE CHANTIER","15","","","","","C3-04---",
"87","ETUDE D'EXECUTION","1","","","","","C3-04---",
"88","DEMOLITION PARTIELLE BAT 3","1","","","","","C3-04---",
"89","SAIGNEES DANS DALLAGE EXISTANT ","1","","","","","C3-04---",
"90","DEMOLITION DU BRISE SOLEIL ","1","","","","","C3-04---",
"91","REPRISE D'UNE POUTRE BETON","1","","","","","C3-04---",
"92","DECOUPAGE DU PALIER ","1","","","","","C3-04---",
"93","CARROTAGE, PERCEMENT ET REMPLISSAGE","1","","","","","C3-04---",
"94","CREATION ET ADAPTATION OUVERTURE BAT 1 ","1","","","","","C3-04---",
"95","CREATION ET ADAPTATION D'OUVERTURE BAT 2","1","","","","","C3-04---",
"96","ISOLEMENT DE LA ZONE DE CHANTIER","1","","","","","C3-04---",
"97","DEMOLITION DES ALLEGES BAT 3","1","","","","","C3-04---",
"98","DEMOLITION DES ALLEGES BAT 1 RDC","1","","","","","C3-04---",
"99","BECHES","1","","","","","C3-04---",
"100","RESEAUX SOUS DALLAGES","1","","","","","C3-04---",
"101","REGARDS","1","","","","","C3-04---",
"102","ISOLATION FIBRASTYRENE ","1","","","","","C3-04---",
"103","PARPAINGS LINTEAUX CHAINAGES","1","","","","","C3-04---",
"104","ACROTERES BA","1","","","","","C3-04---",
"105","JOINTS DE DILATATION","1","","","","","C3-04---",
"106","COUVRE JOINTS","1","","","","","C3-04---",
"107","DRESSAGE","1","","","","","C3-04---",
"108","ENCADREMENT DE BAIES","1","","","","","C3-04---",
"109","RAGREAGE","1","","","","","C3-04---",
"110","REPRISE EN SOUS OEUVRE","1","","","","","C3-04---",
"111","SEUILS ET APPUIS","1","","","","","C3-04---",
"112","SOCLES TOTEM ET PANNEAUX","1","","","","","C3-04---",
"113","ABRI A VELO ","1","","","","","C3-04---",
"114","SOCLES ","1","","","","","C3-04---",
"115","RACCORDS ET FINITIONS ","1","","","","","C3-04---",
"116","ENDUITS INTERIEURS","1","","","","","C3-04---",
"117","EDICULES","1","","","","","C3-04---",
"118","REPRISE DES ETANCHEITES BAT 2","12","","119FD0 - 121FD0 - 122FD0 - 130FD0 - 134FD0 - ","","","C3-05---",
"119","REPRISE DES ETANCHEITES BAT 3 ","15","118FD0 - ","131FD0 - ","","","C3-05---",
"120","ETANCHEITE CASQUETTE BA BAT 1","1","","","","","C3-05---",
"121","ETANCHEITE CASQUETTE BA BAT 2","5","118FD0 - 126FD0 - ","","","","C3-05---",
"122","ETANCHEITE DES TERRASSES BAT 2 R+3","5","118FD0 - ","123FD0 - 124FD0 - ","","","C3-05---",
"123","ETANCHEITE DES TERRASSES BAT 2 R+2","1","122FD0 - ","","","","C3-05---",
"124","ETANCHEITE DES TERRASSES BAT 2 R+1","1","122FD0 - ","125FD0 - ","","","C3-05---",
"125","ETANCHEITE DES TERRASSES BAT 2 RDC","1","123FD0 - 124FD0 - ","","","","C3-05---",
"126","ETANCHEITE BAT 3 & ACCUEIL R+3","10","","127FD0 - 121FD0 - 135FD0 - 128FD0 - ","","","C3-05---",
"127","ETANCHEITE BAT 3 & ACCUEIL RDC","1","126FD0 - ","","","","C3-05---",
"128","REPRISE DES ETANCHEITES AU DROIT DES OUVRAGES CREES BAT 3","3","126FD0 - ","","","","C3-05---",
"130","REMPLACEMENT DESCENTE EP BAT 2","2","118FD0 - ","","","","C3-05---",
